isTemporary,namespace,viewName
false,donus_kitchen_finance,vw_boleto3108
false,donus_kitchen_finance,vw_boleto3108v2
false,donus_kitchen_finance,vw_btg_payment_slip
false,donus_kitchen_finance,vw_btg_transactions
false,donus_kitchen_finance,vw_budget_campanhas
false,donus_kitchen_finance,vw_carteira_btg_historico
false,donus_kitchen_finance,vw_cashback_60_dias
false,donus_kitchen_finance,vw_cashback_ambev
false,donus_kitchen_finance,vw_cashback_consumption_fifo
false,donus_kitchen_finance,vw_cashback_flag_clients
false,donus_kitchen_finance,vw_cashbackambev
false,donus_kitchen_finance,vw_cashin_cashout_clientes
false,donus_kitchen_finance,vw_cashin_cashout_clientes_btg
false,donus_kitchen_finance,vw_cashin_cashout_clientes_btg_hora
false,donus_kitchen_finance,vw_cashin_consumido
false,donus_kitchen_finance,vw_cd_pdt
false,donus_kitchen_finance,vw_cd_pdt_aluguel
false,donus_kitchen_finance,vw_check_boleto1
false,donus_kitchen_finance,vw_check_boleto2
false,donus_kitchen_finance,vw_check_pix1
false,donus_kitchen_finance,vw_check_pix2
false,donus_kitchen_finance,vw_check_saldo_boleto
false,donus_kitchen_finance,vw_check_saldo_pix
false,donus_kitchen_finance,vw_cliente_pos_ranking
false,donus_kitchen_finance,vw_cliente_pos_ranking_detailed
false,donus_kitchen_finance,vw_cliente_pos_ranking_detailed2
false,donus_kitchen_finance,vw_clientes_beesbank_ambev
false,donus_kitchen_finance,vw_clientes_beesbank_ambev2
false,donus_kitchen_finance,vw_clientes_transacoes
false,donus_kitchen_finance,vw_cohort_cliente
false,donus_kitchen_finance,vw_comp_saldo_boleto_btg
false,donus_kitchen_finance,vw_comp_saldo_p2p
false,donus_kitchen_finance,vw_comp_saldo_pix_btg
false,donus_kitchen_finance,vw_comp_saldo_pos_itau
false,donus_kitchen_finance,vw_comp_saldo_ted_topazio
false,donus_kitchen_finance,vw_conc_fifo
false,donus_kitchen_finance,vw_concil_btg_ext
false,donus_kitchen_finance,vw_concil_topazio_btg
false,donus_kitchen_finance,vw_concil_topazio_ext
false,donus_kitchen_finance,vw_conciliacao_topazio
false,donus_kitchen_finance,vw_conciliacao_wallet
false,donus_kitchen_finance,vw_consumo_campanhas
false,donus_kitchen_finance,vw_consumo_cashback_beesbank
false,donus_kitchen_finance,vw_contact_rate_new
false,donus_kitchen_finance,vw_costs_beesbank
false,donus_kitchen_finance,vw_crbs_balance
false,donus_kitchen_finance,vw_crbs_balance_1
false,donus_kitchen_finance,vw_credenciamento_pos
false,donus_kitchen_finance,vw_dado_cliente_pos
false,donus_kitchen_finance,vw_dado_cliente_pos2
false,donus_kitchen_finance,vw_dados_pos
false,donus_kitchen_finance,vw_desp_pos
false,donus_kitchen_finance,vw_desp_pos_2
false,donus_kitchen_finance,vw_desp_pos_cliente
false,donus_kitchen_finance,vw_donus_balance
false,donus_kitchen_finance,vw_donus_direto
false,donus_kitchen_finance,vw_donus_direto1
false,donus_kitchen_finance,vw_ex_dock_duplicada
false,donus_kitchen_finance,vw_exclusividade_pgto
false,donus_kitchen_finance,vw_exclusividade_pgto2
false,donus_kitchen_finance,vw_extratoambevmensal
false,donus_kitchen_finance,vw_fechamento_boleto_analisado
false,donus_kitchen_finance,vw_fechamento_extrato_boleto_btg
false,donus_kitchen_finance,vw_fechamento_extrato_boleto_btg_7dias
false,donus_kitchen_finance,vw_fechamento_extrato_boleto_btg_test
false,donus_kitchen_finance,vw_fechamento_extrato_btg_cont
false,donus_kitchen_finance,vw_fechamento_extrato_btg_cont_test
false,donus_kitchen_finance,vw_fechamento_extrato_pix_btg
false,donus_kitchen_finance,vw_fechamento_extrato_pix_btg_7dias
false,donus_kitchen_finance,vw_fechamento_extrato_pix_btg_test
false,donus_kitchen_finance,vw_fechamento_extrato_topazio
false,donus_kitchen_finance,vw_fechamento_extrato_topazio_cont
false,donus_kitchen_finance,vw_fechamento_pix_analisado
false,donus_kitchen_finance,vw_fechamento_wallet_all
false,donus_kitchen_finance,vw_fechamento_wallet_btg
false,donus_kitchen_finance,vw_fechamento_wallet_btg_topazio
false,donus_kitchen_finance,vw_fechamento_wallet_cdt_cont
false,donus_kitchen_finance,vw_fechamento_wallet_cont
false,donus_kitchen_finance,vw_fechamento_wallet_cont_1
false,donus_kitchen_finance,vw_fechamento_wallet_cont_2
false,donus_kitchen_finance,vw_fechamento_wallet_externals
false,donus_kitchen_finance,vw_fechamento_wallet_itau
false,donus_kitchen_finance,vw_fechamento_wallet_others
false,donus_kitchen_finance,vw_fechamento_wallet_p2p
false,donus_kitchen_finance,vw_fechamento_wallet_topazio
false,donus_kitchen_finance,vw_fechamento_wallet_topazio_analisado
false,donus_kitchen_finance,vw_fifo_balance_cashback
false,donus_kitchen_finance,vw_fifo_balance_conta
false,donus_kitchen_finance,vw_fifo_full
false,donus_kitchen_finance,vw_finance_wallet_all_transactions
false,donus_kitchen_finance,vw_finance_wallet_all_transactions2
false,donus_kitchen_finance,vw_forum_pricing
false,donus_kitchen_finance,vw_forum_pricing_aluguel
false,donus_kitchen_finance,vw_forum_pricing_bi
false,donus_kitchen_finance,vw_forum_pricing_boleto
false,donus_kitchen_finance,vw_forum_pricing_cd
false,donus_kitchen_finance,vw_forum_pricing_clientes
false,donus_kitchen_finance,vw_forum_pricing_cogs_wallet
false,donus_kitchen_finance,vw_forum_pricing_cp
false,donus_kitchen_finance,vw_forum_pricing_despesa
false,donus_kitchen_finance,vw_forum_pricing_despesas_ambev
false,donus_kitchen_finance,vw_forum_pricing_despesas_bb
false,donus_kitchen_finance,vw_forum_pricing_expiracao_cashback_ambev
false,donus_kitchen_finance,vw_forum_pricing_expiracao_cashback_bb
false,donus_kitchen_finance,vw_forum_pricing_float
false,donus_kitchen_finance,vw_forum_pricing_pd
false,donus_kitchen_finance,vw_forum_pricing_pixambev
false,donus_kitchen_finance,vw_forum_pricing_pixqr_code
false,donus_kitchen_finance,vw_forum_pricing_pos
false,donus_kitchen_finance,vw_forum_pricing_recarga
false,donus_kitchen_finance,vw_forum_pricing_tpv_espuma
false,donus_kitchen_finance,vw_freq_card
